"Terme de recherche","Titre","Publication","Date (French)","Année","Utilité","Lien Google News"
"Fondation d'entreprise Hermès","Christine Cayol, passeur artistique qui concrétise son rêve en Chine - 北京周报","北京周报","19 février 2014","2014","Autre","https://news.google.com/rss/articles/CBMigAFBVV95cUxOTmJpLW15dmJNU1ZkcHB5QkNwX05FYUhSbm5rTjBPc3ZXMUJvNU54T3c5UFU1TUViaS1UcjR0N25uTDJzNHAzMGRiYWh2ZXhGZlVBVFFETUh6VTg2QlVVLU1tS3NuTHZfTmFuTUxVTFEwQjc4NmVXbTI3N0xfcnRFTA?oc=5"
"Fondation d'entreprise Hermès","Antoine Denis-Bertin, : « Fondation, fonds de dotation, mécénat : à chaque projet son outil » - Les Échos","Les Échos","16 décembre 2015","2015","Autre","https://news.google.com/rss/articles/CBMivgFBVV95cUxNTmRkWjJjbGR6bnhTQ1hySjR0S2lyaGFSMlNVUXpBazlDNE9vbmU2WV9jd2xBbm1XRkNUX202WV90MURCdENyUmlCMDJUYTBXNzR1LUxtU0I5SUlvUDJyNTdhY0RhYktsYTJldmJzbHNScG9vQ2t5cTllbDBFNzJzdGdIUkhua2xCUGdMQW5aYTFqRG1rLU5ub1RlVjRVVWdoT2NYRjZoaEVVNEpndnJjakV1SU5oSF9FajI1Z3Bn?oc=5"
"Fondation d'entreprise Hermès","Pierre-Alexis Dumas prend la présidence du conseil d'administration des Arts décoratifs - Connaissance des Arts","Connaissance des Arts","17 décembre 2015","2015","Autre","https://news.google.com/rss/articles/CBMi8gFBVV95cUxQLWVoei13WjdWdkpDQ1RGZ2RxVTM2MHRjU2FYTGtlNlRuSW5nTFV5OVJDcU9QTkdzRnJHLWt2aktob2lnZ3dyWDgwMjhqTTAzNTdjWVNjcDE3c3pMTHRXdTJGRDVZYnBSU1N3eC12b2ljR1RXRW9lanVjXzgteTNFOHpabWg2aHlKNmFyNm5RekF2azg3MnNzZzM2MFdxanVuT3B5RlVIb3kxRjZqb25wcVV1NERLamoxbVNSWTFiS1hLTDRnbDJOZXhiQ2VxdXM1NkxSTTNsdGlGYkFyWmwxbjd5X3RkQi1wUzNCZzVheWs4UdIB9wFBVV95cUxNdGx5UXJhSy1IbUxXTTJVTzUtc3plRzAxZjR4MGk0WEVMaGRXbWl0VWNab29FYTVEaTNRdTY2eGpCODF2akdLVWFVa0d0VGRreG8tZFZJQTBwdWF3dGl1eDUwZkZiM1lNNE9fNWxXbjhHa3dFRHc2bHN6LURWTklZMGw1bHUwUmhieGIydldWeHdBbEdxNUNLT2lDOUZXcE1QcVBIc0JId1FNS1RVY1NCd0QyMFoteFZ6aWdIZ1N5QUhwaDRpX3NyRWRidnhiUFVhaWNHbGdDUDI0RnJMOEJ1NjIwZ012VGsyUy1RMlBoVVlpZlhZX2o0?oc=5"
"Fondation d'entreprise Hermès","Les exils de Nil Yalter à La Verrière Hermès à Bruxelles - Le Quotidien de l'Art","Le Quotidien de l'Art","20 novembre 2015","2015","Autre","https://news.google.com/rss/articles/CBMiyAFBVV95cUxOV2tWTFpzdWdubUdONG1wZnh3cExSampaU1lFcjdmaHJ5OHpTMV9Kcmp2aXJHM21NSGo2U1VqUmM0RmRudDRMQ21ZeVQyYVBMbUpXdHljX1M0bFVDVjkxN3FaemdOXzczUFpHMnpfQlZtSnRzSExqSU5yNHFFZHY3RmFLWlhRNGR2TTZVcGtMeVluRzhrb2U1eUVsdEY3a2R1YWNCNmd1eHAzVWRTZ0JuSVVnY3RTc0sxOFp4WTRQRDVyU1YyTjlGRw?oc=5"
"Fondation d'entreprise Hermès","Les Outils et les Gestes : des outils traditionnels aux outils numériques - France Culture","France Culture","28 mai 2015","2015","Autre","https://news.google.com/rss/articles/CBMivAFBVV95cUxNZkQ3QW5vdXREQThrMWktbjlRSkZRTXo2d2xzR3JGdjBpN3JXSUt4T2VQNC1HMXl2dTNSazItX3ItREdkYmJ5QUVQX0cyc24wYkhKZVJLaHN5QXFxMEhQTVpUX195UGp2bk53ZC04cEp6bl9WTzduaERFRWIwRTluWWxVNUsxUHdSb2JkQmswOUhZV2ZMdTY2N256S2FONTJKZVJrOGJiZ01NTEwwcDB6TF9vSzdOTGVFVVdjSg?oc=5"
"Fondation d'entreprise Hermès","Pierre-Alexis Dumas , nouveau président des Arts Décoratifs - FashionNetwork.com FR","FashionNetwork.com FR","18 décembre 2015","2015","Autre","https://news.google.com/rss/articles/CBMipwFBVV95cUxNSTZlQVZnUEU1N3RFTEw3Tk5CVmVndjByY0dyem85NzdrY1huX3FBZzFocnF3VW5Lal96NWdRa0tjcnJ3ZDlzUnh6SFpzQkFTakpQTkxRWGY2UURvY1IzQXN6VzV6a29od0lvRWwtRkVTNUFBQmU3cXRYSW9mYndxZ0RHT21iNWJacDd0aTJXOXpyT3VpZ20zOVBpSXhKclVRanotQWRndw?oc=5"
"Fondation d'entreprise Hermès","Pierre-Alexis Dumas, nouveau président des Arts Décoratifs - LeJournaldesArts.fr","LeJournaldesArts.fr","21 décembre 2015","2015","Autre","https://news.google.com/rss/articles/CBMiqAFBVV95cUxQajZ5Z0NVbS0wSkx5X0xablhBVUUxbXhGaDBTd3pMLVJSNjJveHR1YUY4VmEwUnV4LXlGOUNzV0toU0JZWlNFcmJGS09mZ3pfZHVpdE4xU2RCT1I2ZktZT2NMdm4yNHc3aEdqSmVpY3dQY2FlZ1ZNWjhMYS1lREpzVjQ4YkJlTXdfbWZ3Qjd5bkxWUm5mS2gyN0drSmMwVzBzczZnWFRXVWE?oc=5"
"Fondation d'entreprise Hermès","Les écrans capturés de Laura Lamiel à La Verrière - Le Quotidien de l'Art","Le Quotidien de l'Art","11 juin 2015","2015","Autre","https://news.google.com/rss/articles/CBMivwFBVV95cUxOMEhnZkx0X1Z1M0phLXpXR3ZEVmR4MTFEakZOOEJUUEZkYVZlSTRyUDRPZWZraUkxc3NyUzZKY1A1STVGczZIQ20tN0Vob0FieW1YOVNlM0YyQnZuZGVEN0J2eUZndFdubkNhNDF5TGxtU2NjOVVGY0tSUWc4YjJhSG1ib1RyOHY1U2JJdlJVd2M3c0xDU0E4LXRXNUNMaVBvS0pnUEdRSTVaZVJXdXQ5MXZFVWVndG5rdS1wcXUwTQ?oc=5"
"Fondation d'entreprise Hermès","La nouvelle modernité du bois : l’évolution actuelle des techniques et du matériau - France Culture","France Culture","2 juin 2015","2015","Autre","https://news.google.com/rss/articles/CBMiyAFBVV95cUxQRm5TeEt1YThyc3p6U3QxeGVpNWFrdUVhZUdMWWlsY2M1a1ZXeVoxYml1dnNtR1ZXcmNnQ1JEcGZiVVR2TjB4ZUxPT2pJM29pamdzWU1EM3BGRWc2R25UVEU4R004c01sdnMtMHpEd2pUdGFXYU1wR19UcF9JNnVfWm1ubFRtc2tBaGFYdFdTSnRSd1JLWVVQcE9kdGxFc3huYm1PZFA4Wm5rY19acm44SEhYc0FoNDBZTjVoT3c3SlhoTFM2Q2J4UQ?oc=5"
"Fondation d'entreprise Hermès","Pierre-Alexis Dumas élu président des Arts décoratifs - Le Quotidien de l'Art","Le Quotidien de l'Art","18 décembre 2015","2015","Autre","https://news.google.com/rss/articles/CBMivgFBVV95cUxORGR6UVJCb3dXeDhVSUxZM19FUWFiaklPWTZUZFphNmJudFFpVnM2U3F1bXJkRmZQcjhHOFFTdDBUQXQ4LXhBd3E2QUhzNi1aMGdNWVFSR1BPWmM5VFk0bUJXNmFFcV9WU2hKYlA3Wjh3OXl6UEV4UWFZWkRIOXh6VV9neTRLWE1xSEpoZmowc09PVkZYVFc5UVhWVmdwM3hSLTVaN2NZM2NRVFIzaEQxZ2NoWnJ5Uk96dVVPWHhB?oc=5"
